contrat_id,annee,branche,zone_geo,somme_assuree,nb_salaries,secteur,historique_sinistres,proba_sinistre,a_sinistre,montant_brut,depasse_priorite,charge_reassureur,montant_hors_traite,prime_fictive
0,2019,prevoyance,Paris,198136.0,155,industrie,0,0.0804068,0,0.0,0,0.0,0.0,990.6800000000001
1,2020,prevoyance,Paris,66757.0,321,sante,0,0.09043785,0,0.0,0,0.0,0.0,333.785
2,2018,sante,Paris,88671.0,483,industrie,0,0.06773355,0,0.0,0,0.0,0.0,443.355
3,2020,prevoyance,Province,41787.0,477,industrie,1,0.11478934999999998,0,0.0,0,0.0,0.0,208.935
4,2020,prevoyance,Paris,124291.0,495,sante,3,0.14071455,0,0.0,0,0.0,0.0,621.455
5,2017,prevoyance,Province,591268.0,114,sante,5,0.1459634,0,0.0,0,0.0,0.0,2956.34
6,2018,prevoyance,Paris,161924.0,296,industrie,2,0.11269620000000001,0,0.0,0,0.0,0.0,809.62
7,2018,prevoyance,Cotier,456479.0,465,sante,2,0.20432394999999998,0,0.0,0,0.0,0.0,2282.395
8,2018,sante,Paris,933300.0,200,industrie,1,0.091665,0,0.0,0,0.0,0.0,4666.5
9,2020,prevoyance,Cotier,80369.0,480,industrie,3,0.19701845,0,0.0,0,0.0,0.0,401.845
10,2019,sante,Cotier,130107.0,187,btp,4,0.17020535,0,0.0,0,0.0,0.0,650.535
11,2018,rc,Province,2203222.0,354,btp,2,0.2105611,0,0.0,0,0.0,0.0,11016.11
12,2020,sante,Province,920997.0,248,services,2,0.10584985,0,0.0,0,0.0,0.0,4604.985
13,2017,prevoyance,Province,21875.0,10,industrie,1,0.06709375,0,0.0,0,0.0,0.0,109.375
14,2019,prevoyance,Province,258999.0,119,industrie,4,0.11984994999999998,0,0.0,0,0.0,0.0,1294.9950000000001
15,2017,prevoyance,Paris,162864.0,347,btp,3,0.1578432,0,0.0,0,0.0,0.0,814.32
16,2019,prevoyance,Paris,438776.0,284,sante,1,0.11533879999999999,0,0.0,0,0.0,0.0,2193.88
17,2020,prevoyance,Province,66571.0,380,services,2,0.11632855,0,0.0,0,0.0,0.0,332.855
18,2016,sante,Province,59425.0,391,btp,0,0.08707125,1,246243.03901048272,1,46243.039010482724,0.0,297.125
19,2019,prevoyance,Province,72310.0,243,industrie,0,0.0829155,0,0.0,0,0.0,0.0,361.55
20,2017,prevoyance,Paris,81935.0,73,btp,2,0.11639675000000001,0,0.0,0,0.0,0.0,409.675
21,2020,prevoyance,Paris,432955.0,253,industrie,1,0.11194775,0,0.0,0,0.0,0.0,2164.775
22,2019,sante,Paris,39441.0,62,services,1,0.033172049999999995,0,0.0,0,0.0,0.0,197.205
23,2016,prevoyance,Paris,77100.0,271,services,3,0.11595499999999999,0,0.0,0,0.0,0.0,385.5
24,2016,sante,Paris,19019.0,26,sante,0,0.01855095,0,0.0,0,0.0,0.0,95.095
25,2018,prevoyance,Paris,545000.0,311,services,3,0.14335,0,0.0,0,0.0,0.0,2725.0
26,2018,rc,Paris,748058.0,465,services,3,0.1289029,0,0.0,0,0.0,0.0,3740.29
27,2017,rc,Cotier,109920.0,383,btp,0,0.14879599999999998,0,0.0,0,0.0,0.0,549.6
28,2019,prevoyance,Paris,113830.0,243,services,3,0.11499150000000001,0,0.0,0,0.0,0.0,569.15
29,2019,prevoyance,Province,280370.0,82,industrie,4,0.11721849999999999,0,0.0,0,0.0,0.0,1401.8500000000001
30,2018,prevoyance,Paris,954916.0,366,services,3,0.1693458,0,0.0,0,0.0,0.0,4774.58
31,2019,prevoyance,Cotier,265756.0,448,btp,2,0.22308779999999998,0,0.0,0,0.0,0.0,1328.78
32,2019,sante,Province,70471.0,100,services,4,0.06852355,0,0.0,0,0.0,0.0,352.355
33,2016,rc,Paris,23328.0,493,industrie,2,0.0854664,0,0.0,0,0.0,0.0,116.64
34,2018,sante,Province,42695.0,15,services,1,0.02863475,0,0.0,0,0.0,0.0,213.475
35,2020,rc,Paris,177702.0,207,sante,2,0.06458509999999999,0,0.0,0,0.0,0.0,888.51
36,2018,prevoyance,Province,74132.0,374,industrie,1,0.1061066,0,0.0,0,0.0,0.0,370.66
37,2020,prevoyance,Paris,205656.0,205,services,2,0.10578280000000001,0,0.0,0,0.0,0.0,1028.28
38,2016,sante,Cotier,83825.0,479,services,1,0.13709125,1,266714.8649237325,1,66714.86492373247,0.0,419.125
39,2017,prevoyance,Province,45717.0,305,industrie,0,0.08778585,0,0.0,0,0.0,0.0,228.585
40,2019,sante,Paris,39639.0,356,services,2,0.07258195,0,0.0,0,0.0,0.0,198.195
41,2016,prevoyance,Province,1061109.0,494,sante,1,0.16745545,0,0.0,0,0.0,0.0,5305.545
42,2019,prevoyance,Paris,472969.0,331,industrie,0,0.11174845,0,0.0,0,0.0,0.0,2364.8450000000003
43,2017,rc,Cotier,1298372.0,146,btp,3,0.2145186,0,0.0,0,0.0,0.0,6491.860000000001
44,2017,prevoyance,Province,311122.0,276,btp,4,0.1681561,0,0.0,0,0.0,0.0,1555.6100000000001
45,2016,rc,Province,97150.0,413,services,3,0.0911575,1,927678.5664628439,1,727678.5664628439,0.0,485.75
46,2017,rc,Paris,796521.0,125,industrie,3,0.09732604999999998,0,0.0,0,0.0,0.0,3982.605
47,2020,sante,Cotier,156423.0,52,sante,2,0.10802115,0,0.0,0,0.0,0.0,782.115
48,2017,sante,Province,212142.0,240,btp,1,0.0896071,0,0.0,0,0.0,0.0,1060.71
49,2019,sante,Paris,154602.0,67,industrie,0,0.0294301,0,0.0,0,0.0,0.0,773.01
50,2019,rc,Paris,4740.0,215,industrie,3,0.066737,0,0.0,0,0.0,0.0,23.7
51,2019,prevoyance,Paris,1116469.0,419,services,0,0.15272344999999998,0,0.0,0,0.0,0.0,5582.345
52,2019,prevoyance,Cotier,293374.0,303,services,2,0.17996869999999998,0,0.0,0,0.0,0.0,1466.8700000000001
53,2020,sante,Paris,241781.0,103,services,3,0.06738904999999999,0,0.0,0,0.0,0.0,1208.905
54,2018,prevoyance,Province,151126.0,45,sante,0,0.0670563,1,296561.9011122373,1,96561.9011122373,0.0,755.63
55,2016,prevoyance,Paris,198018.0,239,services,2,0.1088009,0,0.0,0,0.0,0.0,990.09
56,2019,prevoyance,Paris,79480.0,236,sante,2,0.102574,0,0.0,0,0.0,0.0,397.40000000000003
57,2017,sante,Province,341088.0,192,btp,0,0.0812544,1,683401.8484948551,1,483401.8484948551,0.0,1705.44
58,2019,rc,Cotier,33911.0,271,industrie,2,0.12379555,0,0.0,0,0.0,0.0,169.555
59,2017,prevoyance,Province,203472.0,140,btp,4,0.14917360000000002,0,0.0,0,0.0,0.0,1017.36
60,2017,rc,Cotier,319301.0,74,services,0,0.09836505,1,364761.98338377505,1,164761.98338377505,0.0,1596.505
